date,r2_level_pct,r2_level_ML,r1_level_pct,r1_level_ML,pump_river_to_r1_ML_day,pump_r1_to_r2_ML_day,pump_r2_to_site_ML_day,demand_supplied_ML_day,r1_storage_change_ML,r2_storage_change_ML,is_original_measurement,has_r1_level,has_r2_level,has_river_pump,has_r1_r2_pump,has_r2_site_pump
2022-01-05,63.0559529777965,801.4411623477936,36.09664755789756,470.3393176794052,11.271428571428519,8.014285714285766,5.3541000000000265,5.3541000000000265,11.650999069213867,0.0,True,True,True,True,True,True
2022-01-12,60.6000191390655,770.2262432575226,44.88109070250188,584.8006118535995,11.271428571428519,8.014285714285766,5.3541000000000265,5.3541000000000265,114.46129417419434,-31.214919090270996,False,True,True,True,True,True
2022-01-19,58.1440853003345,739.0113241672516,53.665533847106204,699.2619060277939,17.683333333333394,8.349999999999758,7.635800000000001,7.635800000000001,114.46129417419434,-31.214919090270996,True,True,True,True,True,True
2022-01-26,58.1440853003345,739.0113241672516,42.90658499036307,559.0728024244308,0.0,9.328571428571584,7.062857142857142,7.062857142857142,-140.18910360336304,0.0,True,True,True,True,True,True
2022-02-02,57.15458734498823,726.4348051548004,46.25056105582237,602.6448105573654,11.085714285714207,5.442857142857195,5.413671428571456,5.413671428571456,43.57200813293457,-12.576519012451172,True,True,True,True,True,True
2022-02-09,61.80254730251621,785.5103762149811,43.01923701878428,560.5406583547592,5.814285714285818,5.442857142857195,5.708542857142831,5.708542857142831,-42.1041522026062,59.075571060180664,True,True,True,True,True,True
2022-02-16,61.388540849453065,780.2483541965485,38.34841614581948,499.67986238002777,3.38571428571426,9.416666666666666,7.8255,7.8255,-60.860795974731445,-5.262022018432617,True,True,True,True,True,True
2022-02-23,62.21844819847004,790.7964766025543,42.79412366020981,557.6074312925339,15.971428571428598,9.314285714285818,5.555928571428572,5.555928571428572,57.9275689125061,10.54812240600586,True,True,True,True,True,True
2022-03-02,61.388540849453065,780.2483541965485,47.3205656339275,616.5869702100754,15.285714285714286,7.057142857142805,6.001785714285715,6.001785714285715,58.979538917541504,-10.54812240600586,True,True,True,True,True,True
2022-03-09,61.182246313237655,777.6263506412506,51.404751884141334,669.8039170503616,15.285714285714286,8.800000000000052,7.049428571428571,7.049428571428571,53.216946840286255,-2.6220035552978516,True,True,True,True,True,True
2022-03-16,61.182246313237655,777.6263506412506,55.48893813435517,723.0208638906479,19.216666666666697,9.38571428571413,6.022857142857142,6.022857142857142,53.216946840286255,0.0,True,True,True,True,True,True
2022-03-23,61.59530764579023,782.8763601779938,58.82917920717896,766.5442050695419,17.099999999999973,9.38571428571439,6.359771428571482,6.359771428571482,43.52334117889404,5.250009536743164,True,True,True,True,True,True
2022-03-30,61.182246313237655,777.6263506412506,65.40145499836181,852.1809586286545,21.84285714285722,9.38571428571439,7.059342857142778,7.059342857142778,85.63675355911255,-5.250009536743164,True,True,True,True,True,True
